case_id,message,conversation_version,image_bundle,legacy_image,consultation_claimed,expected_owner
category_text,500内油敏肌防晒,0,false,false,false,guide_text
category_skincare,推荐修护精华,0,false,false,false,guide_text
category_suncare,推荐通勤防晒,0,false,false,false,guide_text
category_base_makeup,推荐持妆粉底液,0,false,false,false,guide_text
category_color_makeup,推荐显白口红,0,false,false,false,guide_text
category_cleanser,推荐温和卸妆油,0,false,false,false,guide_text
category_fragrance,推荐木质调香水,0,false,false,false,guide_text
scenario_text,500元内长时间户外防晒,0,false,false,false,guide_text
owned_followup,第二款呢,1,false,false,false,guide_text
legacy_followup,第二款呢,0,false,false,false,legacy
server_bundle,找相似款,0,true,false,false,guide_image
server_single_image_suitability,这款适合敏感肌吗,0,true,false,false,guide_image
server_two_image_bundle,比较这两张图,0,true,false,false,guide_image
server_four_image_bundle,比较这四张图,0,true,false,false,guide_image
legacy_image,看看图片,0,false,true,true,legacy
consultation_entry,我不知道自己是什么肤质,0,false,false,true,guide_consultation
consultation_active_turn,会,1,false,false,true,guide_consultation
unsupported_text,今天天气怎么样,0,false,false,false,legacy
